City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kovur,IN,76.17,scattered clouds,14.48,79.98,Pleasant Stay
2,Atuona,PF,77.47,light rain,-9.8,-139.03,Villa Enata
6,Butaritari,KI,82.29,clear sky,3.07,172.79,Isles Sunset Lodge
8,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
14,Faanui,PF,80.6,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Mount Isa,AU,84.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
21,Santa Maria,BR,71.6,scattered clouds,-29.68,-53.81,Hotel Morotin
23,Gorontalo,ID,79.39,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
24,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Inirida,CO,71.38,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
28,Omboue,GA,75.11,overcast clouds,-1.57,9.26,Hotel Olako
29,Vao,NC,74.3,broken clouds,-22.67,167.48,Hotel Kou-Bugny
32,Danane,CI,71.83,broken clouds,7.26,-8.15,Hotel du marché
34,Tual,ID,83.53,overcast clouds,-5.67,132.75,Grand Vilia Hotel
36,Rikitea,PF,74.32,light rain,-23.12,-134.97,Pension Maro'i
37,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
38,Punta Gorda,US,81.0,overcast clouds,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
44,Kavaratti,IN,80.92,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
45,Hilo,US,86.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
46,Ahipara,NZ,71.08,overcast clouds,-35.17,173.17,Ahipara Holiday Park
48,Nampula,MZ,71.2,few clouds,-15.12,39.27,Tacab Residencial
51,Puerto Palomas,MX,73.4,clear sky,31.77,-107.62,Hotel San Carlos
53,Atar,MR,81.9,overcast clouds,20.52,-13.05,Oumou Elghoura
58,Georgetown,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
60,Kawalu,ID,71.78,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
71,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
72,Bengkulu,ID,75.45,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
73,Pauini,BR,77.49,light rain,-7.71,-66.98,Casa do Kiwliks
74,Tallahassee,US,77.0,few clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
78,Victoria,HK,75.0,light rain,22.29,114.16,Mini Hotel Central
80,Kuliyapitiya,LK,78.8,scattered clouds,7.47,80.04,Rest House
82,Cabo San Lucas,MX,89.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
86,Mandera,KE,80.71,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
89,Sao Joao Da Barra,BR,71.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
92,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
93,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
99,Tarakan,ID,77.07,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
